Disease,Description
Paralysis (brain hemorrhage),Paralysis due to brain hemorrhage is a neurological condition that occurs following intracerebral bleeding. It results in the loss of motor function in affected areas of the body. The hemorrhage may be caused by a hypertensive crisis or vascular malformations. Diagnosis is confirmed by neuroimaging techniques such as CT scan and MRI. Treatment involves emergency medical care and longterm rehabilitation therapy to optimize recovery.
Jaundice,Jaundice is a clinical condition characterized by yellow discoloration of the skin and sclera due to elevated bilirubin levels. It is caused by liver dysfunction or biliary obstruction and may be associated with viral hepatitis hemolysis or cholestasis. The diagnostic evaluation includes liver function tests and imaging of the hepatobiliary system. Management depends on the underlying etiology and may require medical or surgical intervention.
Malaria,Malaria is an infectious disease caused by Plasmodium parasites that are transmitted through the bite of Anopheles mosquitoes. It is characterized by cyclical fever chills and rigors resulting from the parasitic invasion and destruction of red blood cells. Diagnosis is made by microscopic examination of a blood smear and by rapid diagnostic tests. Treatment consists of antimalarial medications and supportive care to manage symptoms.
Chicken pox,Chicken pox is a highly contagious viral infection caused by the varicella zoster virus that primarily affects children. It presents with a pruritic vesicular rash and mild fever. The virus is transmitted through respiratory droplets and direct contact with lesions. Diagnosis is based on the characteristic clinical appearance and may be confirmed by serological tests. Management is largely supportive and antiviral therapy may be considered for high risk individuals.
Dengue,Dengue is a mosquito borne viral infection caused by the dengue virus that produces high fever severe headache and intense myalgia. The pathophysiology involves a complex immune response and increased vascular permeability that may lead to hemorrhagic manifestations. Diagnosis is confirmed by serological assays and polymerase chain reaction testing. Treatment is supportive with careful fluid management and close monitoring for complications.
Typhoid,Typhoid is a systemic infection caused by Salmonella typhi that is transmitted by ingestion of contaminated food or water. It presents with prolonged fever abdominal pain and a rash known as rose spots that appear on the trunk. Diagnosis is confirmed by blood culture and serological tests such as the Widal test. Treatment involves the use of appropriate antibiotics and supportive care with adequate hydration.
hepatitis A,hepatitis A is an acute viral infection of the liver caused by the hepatitis A virus that is transmitted via the fecal oral route. It presents with fever malaise and jaundice and is diagnosed by serological markers including antiHAV IgM. The disease is usually self limited with complete recovery expected. Management is supportive with an emphasis on maintaining hydration and proper nutrition.
Hepatitis B,Hepatitis B is a viral infection of the liver caused by the hepatitis B virus that is transmitted through exposure to infected blood or bodily fluids. Its clinical course may be acute or may progress to chronic hepatitis with the risk of cirrhosis. Diagnosis is made by serological testing including HBsAg and quantification of HBV DNA. Treatment involves antiviral therapy and regular monitoring of liver function to prevent complications.
Hepatitis C,Hepatitis C is a chronic viral infection that leads to persistent liver inflammation and progressive fibrosis. It is primarily transmitted through blood exposure and often remains asymptomatic in early stages. Diagnosis is confirmed by detection of antiHCV antibodies and HCV RNA quantification. Management includes the use of direct acting antiviral agents and periodic assessment of hepatic status.
Hepatitis D,Hepatitis D is a severe form of viral hepatitis that occurs only in individuals already infected with hepatitis B. It is caused by the hepatitis D virus which requires HBsAg for its replication. The infection leads to rapid progression of liver damage and an increased risk of cirrhosis. Diagnosis is confirmed by detecting antiHDV antibodies and HDV RNA. Treatment is challenging and focuses on prevention of HBV coinfection along with supportive care.
Hepatitis E,Hepatitis E is an acute viral hepatitis caused by the hepatitis E virus that is typically transmitted through contaminated water. It presents with jaundice and gastrointestinal symptoms and is diagnosed by serological testing for antiHEV IgM antibodies. The disease is usually self limited but can be severe in pregnant women. Management is supportive with an emphasis on maintaining fluid balance and nutrition.
Alcoholic hepatitis,Alcoholic hepatitis is an inflammatory condition of the liver resulting from chronic excessive alcohol consumption. It presents with jaundice hepatomegaly and tenderness in the right upper quadrant. The pathogenesis involves oxidative stress and cytokine mediated liver injury. Diagnosis is based on clinical history liver function tests and imaging studies. Management requires complete alcohol abstinence along with supportive care and nutritional therapy.
Tuberculosis,Tuberculosis is a chronic infectious disease caused by Mycobacterium tuberculosis that primarily affects the lungs although other organs may be involved. It presents with chronic cough fever weight loss and night sweats that reflect its systemic nature. Diagnosis is established by sputum smear microscopy culture and radiographic findings. Treatment involves a prolonged multidrug regimen and careful monitoring to prevent drug resistance.
Common Cold,Common Cold is an acute viral infection of the upper respiratory tract most often caused by rhinoviruses. It presents with nasal congestion sore throat and low grade fever that usually resolves on its own. The immune response plays a major role in symptom resolution. Diagnosis is clinical based on the typical constellation of symptoms. Management is supportive with rest fluids and overthecounter symptomatic relief.
Pneumonia,Pneumonia is an infection of the lung parenchyma that results in consolidation and impaired gas exchange. It may be caused by bacteria viruses or fungi and presents with cough fever and difficulty breathing. Diagnosis is confirmed by chest radiography and laboratory investigations. Treatment involves appropriate antimicrobial therapy and supportive respiratory care to improve oxygenation.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids piles is a condition characterized by abnormal dilation of venous structures in the anorectal region that leads to pain discomfort and bleeding during defecation. The etiology may involve increased venous pressure due to straining and prolonged sitting. Diagnosis is made by clinical examination and anoscopic evaluation. Management includes conservative treatment with dietary modifications and in some cases surgical intervention.
Heart attack,Heart attack is a medical emergency caused by myocardial infarction that results from the occlusion of a coronary artery. It presents with severe chest pain shortness of breath and profuse sweating. The pathophysiology involves ischemia leading to necrosis of cardiac tissue. Diagnosis is confirmed by electrocardiography elevated cardiac enzymes and imaging studies. Treatment involves reperfusion therapy and longterm management of cardiovascular risk factors.
Varicose veins,Varicose veins are enlarged and tortuous superficial veins that typically occur in the lower extremities as a result of venous insufficiency and valve incompetence. They present with leg pain swelling and a sensation of heaviness that worsens with prolonged standing. Diagnosis is based on physical examination and duplex ultrasonography. Management includes compression therapy lifestyle modifications and in some cases surgical procedures.
Hypothyroidism,Hypothyroidism is an endocrine disorder characterized by insufficient production of thyroid hormones that leads to a decreased metabolic rate. It presents with fatigue weight gain and cold intolerance and is often caused by autoimmune thyroiditis or iodine deficiency. Diagnosis is established by elevated thyroid stimulating hormone levels and low free thyroxine measurements. Treatment consists of thyroid hormone replacement therapy and regular monitoring.
Hyperthyroidism,Hyperthyroidism is an endocrine disorder resulting from excessive production of thyroid hormones that causes an acceleration of metabolic processes. It presents with weight loss tachycardia and heat intolerance and may be due to Graves disease toxic multinodular goiter or thyroiditis. Diagnosis is based on suppressed thyroid stimulating hormone levels and elevated free thyroxine measurements. Management involves the use of antithyroid medications radioiodine therapy or thyroid surgery.
Hypoglycemia,Hypoglycemia is a metabolic disturbance characterized by abnormally low blood glucose levels that can impair normal brain function. It can result in symptoms such as sweating tremors confusion and loss of consciousness and may be due to excessive insulin secretion or inadequate nutritional intake. Diagnosis is confirmed by measuring blood glucose levels during symptomatic episodes. Management requires prompt administration of carbohydrates and careful monitoring to prevent recurrences.
Osteoarthristis,Osteoarthristis is a degenerative joint disease that results from the breakdown of articular cartilage leading to joint space narrowing. It presents with chronic joint pain stiffness and reduced mobility and is often related to mechanical stress and biochemical degradation. Diagnosis is based on clinical evaluation and imaging modalities such as radiography that reveal joint changes. Management includes physical therapy analgesics and lifestyle modifications to reduce joint stress.
Arthritis,Arthritis is an inflammatory joint disorder that encompasses a wide range of conditions affecting the joints and causing pain swelling stiffness and loss of function. Its etiologies may be autoimmune in nature or result from degenerative processes. Diagnosis involves clinical assessment laboratory tests and imaging studies to determine the underlying cause. Treatment includes pharmacotherapy physical therapy and in some cases surgical intervention to restore joint function.
(vertigo) Paroymsal Positional Vertigo,Paroxysmal Positional Vertigo is a vestibular disorder characterized by brief episodes of vertigo triggered by specific head movements that result from dislodged otoliths migrating into the semicircular canals. It is diagnosed using positional tests such as the Dix Hallpike maneuver that reproduce symptoms. Management involves canalith repositioning procedures and vestibular rehabilitation to restore balance.
Acne,Acne is a chronic inflammatory skin condition that affects the pilosebaceous units and is characterized by comedones papules pustules and in severe cases nodules and cysts. The pathophysiology involves increased sebum production abnormal keratinization and colonization by Propionibacterium acnes. Diagnosis is clinical and severity is assessed based on lesion count and distribution across affected areas. Treatment includes topical retinoids benzoyl peroxide and in severe cases systemic isotretinoin to reduce inflammation.
Urinary tract infection,Urinary tract infection is a bacterial infection that can affect any part of the urinary system including the urethra bladder ureters and kidneys. It presents with dysuria increased frequency urgency and lower abdominal pain that may be accompanied by fever. Diagnosis is confirmed by urinalysis and urine culture that identify the causative organism. Management includes appropriate antibiotic therapy and increased fluid intake to facilitate clearance of the infection.
Psoriasis,Psoriasis is a chronic autoimmune skin disorder characterized by the rapid proliferation of keratinocytes that leads to thick erythematous plaques with silvery scales. It involves a complex interplay of genetic predisposition and immune mediated inflammation that results in chronic skin changes. Diagnosis is primarily clinical and may be supported by a skin biopsy. Management includes topical therapies phototherapy and systemic immunomodulators in severe cases.
Impetigo,Impetigo is a superficial bacterial skin infection that commonly affects children and is characterized by the formation of vesicles that rupture to form honeycolored crusts. It is most often caused by Staphylococcus aureus or Streptococcus pyogenes. Diagnosis is clinical and may be confirmed by bacterial culture if necessary. Treatment involves the use of topical or oral antibiotics and proper hygiene measures to prevent spread.
